"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LED_0603_1608Metric";1;"LED";;;
2;"C2,C3,C4,C5";"C_0805_2012Metric";4;".1uF";;;
3;"R4";"R_0805_2012Metric";1;"100k";;;
4;"R2,R1";"R_0805_2012Metric";2;"330-1k";;;
5;"REF**,REF**,REF**,REF**";"gold";4;"gold";;;
6;"D3";"Nexperia_DSN1608-2_1.6x0.8mm";1;"PTVS5V0Z1USK";;;
7;"U1";"DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm";1;"ATECC608A-MAHDA";;;
8;"C6";"C_0805_2012Metric";1;"100nF";;;
9;"D5,D4";"D_SOD-523";2;"ESD5Zxx";;;
10;"U3";"SOT-223-3_TabPin2";1;"SPX2920M3-3.3_SOT223";;;
11;"SW1";"SW_SPST_TL3342";1;"SW_Push";;;
12;"C8,C1,C7";"C_1206_3216Metric";3;"4.7-10uF";;;
13;"D1";"LED_0805_2012Metric";1;"LED";;;
14;"R3";"R_0805_2012Metric";1;"10k";;;
15;"F1";"Fuse_1206_3216Metric";1;"Polyfuse";;;
16;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103CBTx";;;
17;"R5,R6";"R_0805_2012Metric";2;"22";;;
18;"J2";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04_Pin";;;
