Player,Best prior placement (season),Final Tribal before 50?,Reached Final 4 before 50?
Dee Valladares,1st -Survivor 45winner,Yes,Yes (as winner)
Kyle Fraser,1st -Survivor 48winner,Yes,Yes (as winner)
Savannah Louie,1st -Survivor 49winner,Yes,Yes (as winner)
Q (Quintavius) Burdette,"Final Tribal,Survivor 46",Yes,Yes
Charlie Davis,"Final Tribal, 2nd -Survivor 46",Yes,Yes
Joe Hunter,Final Tribal -Survivor 48,Yes,Yes
Rizo Velovic,Final Tribal via firemaking -Survivor 49,Yes,Yes (Final 4 fire)
Jenna Lewis-Dougherty,Final Tribal -All-Stars,Yes,Yes
Benjamin “Coach” Wade,Final Tribal -South Pacific,Yes,Yes
Colby Donaldson,Final Tribal -The Australian Outback,Yes,Yes
Aubry Bracco,Final Tribal -Kaôh Rōng,Yes,Yes
Chrissy Hofbeck,Final Tribal -HvHvH,Yes,Yes
Angelina Keeley,Final Tribal -David vs. Goliath,Yes,Yes
Ozzy Lusth,Final Tribal -Cook Islands,Yes,Yes
Rick Devens,4th -Edge of Extinction,No,Yes (4th)
Jonathan Young,8th -Survivor 42,No,No (pre-F4)
Emily Flippen,7th -Survivor 45,No,No
Christian Hubicki,6th -David vs. Goliath,No,No
Cirie Fields,Best 3rd/4th range - multiple seasons,No (never FTC),Yes (deep runs)
Stephanie LaGrossa Kendrick,"2nd -Palau, also 19thHvV",Yes (Palau),Yes
Genevieve Mushaluk,5th -Survivor 47,No,No (just outside F4)
Mike White,2nd -David vs. Goliath,Yes,Yes
Kamillah (“Kam”),Best placement mid‑jury (new era),No,No
Tiffany,Mid‑placement in her original season,No,No
