Ref,Val,Package,PosX,PosY,Rot,Side
C1,4.7-10uF,C_1206_3216Metric,169.925,-106.2,0,top
C2,.1uF,C_0805_2012Metric,165.3,-123.4,-90,top
C3,.1uF,C_0805_2012Metric,168.6,-109.15,90,top
C4,.1uF,C_0805_2012Metric,175,-111.25,-90,top
C5,.1uF,C_0805_2012Metric,157.95,-113.3,0,top
C6,100nF,C_0805_2012Metric,170.3,-123.75,-90,top
C7,4.7-10uF,C_1206_3216Metric,164.025,-111.3,0,top
C8,4.7-10uF,C_1206_3216Metric,162.193138,-116.44556,180,top
D1,LED,LED_0805_2012Metric,181.7375,-116,180,top
D2,LED,LED_0603_1608Metric,181.5875,-117.88,180,top
D3,PTVS5V0Z1USK,Nexperia_DSN1608-2_1.6x0.8mm,153.62773,-113.449495,0,top
D4,ESD5Zxx,D_SOD-523,176.2,-108.3,90,top
D5,ESD5Zxx,D_SOD-523,174.8,-108.3,90,top
F1,Polyfuse,Fuse_1206_3216Metric,153.66273,-116.269495,0,top
R1,330-1k,R_0805_2012Metric,178.3225,-115.95,0,top
R2,330-1k,R_0805_2012Metric,178.3875,-118,0,top
R3,10k,R_0805_2012Metric,167.6,-123.5875,90,top
R4,100k,R_0805_2012Metric,162.6875,-113.6,180,top
R5,22,R_0805_2012Metric,170.7,-109.1875,90,top
R6,22,R_0805_2012Metric,172.9,-109.1875,90,top
SW1,SW_Push,SW_SPST_TL3342,176.358138,-124.51556,0,top
U1,ATECC608A-MAHDA,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,160.698138,-119.58556,0,top
U2,STM32F103CBTx,LQFP-48_7x7mm_P0.5mm,170.05,-116.2375,90,top
U3,SPX2920M3-3.3_SOT223,SOT-223-3_TabPin2,153.8,-122.55,-90,top
